Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C66501,CL10B104KO8NNNC,Samsung Electro-Mechanics,0603,,100nF ±10% 16V Ceramic Capacitor X7R 0603,yes,100,100,100,0.0073,0.73,https://www.lcsc.com/product-detail/C66501.html
2,C2764609,XKSD-013,XKB Connection,SMD,,Standard SD card Connector and Ejector Push-Pull Surface Mount,yes,5,5,5,0.1570,0.79,https://www.lcsc.com/product-detail/C2764609.html
3,C393941,TF PUSH,SHOU HAN,SMD,,Micro SD card (TF card) Connector and Ejector Push-Push Surface Mount,yes,10,10,10,0.0618,0.62,https://www.lcsc.com/product-detail/C393941.html
4,C19171394,YLED0603B,YONGYUTAI,0603,,Blue LED Indication - Discrete 2.6V~3.2V 0603,yes,100,100,100,0.0058,0.58,https://www.lcsc.com/product-detail/C19171394.html
5,C21519,MPZ2012S601AT000,TDK,0805,,600Ω@100MHz 1 Line Ferrite Bead 0805 2A 100mΩ,yes,10,10,10,0.0262,0.26,https://www.lcsc.com/product-detail/C21519.html
6,C48678024,AO3401A,baocheng,SOT-23,,P-Channel 30V 4.2A 1.4W Surface Mount SOT-23,yes,20,20,20,0.0295,0.59,https://www.lcsc.com/product-detail/C48678024.html
7,C916396,2N7002,JSMSEMI,SOT-23,,N-Channel 60V 115mA 200mW Surface Mount SOT-23,yes,50,50,50,0.0087,0.44,https://www.lcsc.com/product-detail/C916396.html
8,C137753,RC0603FR-0727RL,YAGEO,0603,,100mW 27Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0020,0.20,https://www.lcsc.com/product-detail/C137753.html
9,C2930027,FRC0603J103 TS,FOJAN,0603,,10kΩ ±5% 100mW 0603 Thick Film Resistor,-,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C2930027.html
10,C2907172,FRC0603J471 TS,FOJAN,0603,,470Ω ±5% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0018,0.18,https://www.lcsc.com/product-detail/C2907172.html
11,C284879,GL823K-HCY04,GENESYS,SSOP-16-150mil,,USB to SD 480Mbps USB 2.0 SSOP-16-150mil Interface Controllers RoHS,yes,1,1,1,0.4568,0.46,https://www.lcsc.com/product-detail/C284879.html
12,C720521,USB-212-BCW,XUNPU,SMD,,"USB-A (USB TYPE-A) Receptacle Connector 4 Position Surface Mount, Right Angle",yes,5,5,5,0.0981,0.49,https://www.lcsc.com/product-detail/C720521.html
13,C962136,CL10A106KO8NQNC,Samsung Electro-Mechanics,0603,,10uF ±10% 16V Ceramic Capacitor X5R 0603,yes,10,10,10,0.0433,0.43,https://www.lcsc.com/product-detail/C962136.html
14,C69335,CL10A475KA8NQNC,Samsung Electro-Mechanics,0603,,4.7uF ±10% 25V Ceramic Capacitor X5R 0603,yes,10,10,10,0.0491,0.49,https://www.lcsc.com/product-detail/C69335.html
