Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C19666,CL10A475KO8NNNC,Samsung Electro-Mechanics,0603,,4.7uF ±10% 16V Ceramic Capacitor X5R 0603,yes,10,10,10,0.0122,0.12,https://www.lcsc.com/product-detail/C19666.html
2,C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,,10uF ±10% 10V Ceramic Capacitor X5R 0603,yes,20,20,20,0.0125,0.25,https://www.lcsc.com/product-detail/C19702.html
3,C66501,CL10B104KO8NNNC,Samsung Electro-Mechanics,0603,,100nF ±10% 16V Ceramic Capacitor X7R 0603,yes,100,100,100,0.0048,0.48,https://www.lcsc.com/product-detail/C66501.html
4,C2764609,XKSD-013,XKB Connection,SMD,,Standard SD card Connector and Ejector Push-Pull Surface Mount,yes,5,5,5,0.1570,0.79,https://www.lcsc.com/product-detail/C2764609.html
5,C393941,TF PUSH,SHOU HAN,SMD,,Micro SD card (TF card) Connector and Ejector Push-Push Surface Mount,yes,10,10,10,0.0661,0.66,https://www.lcsc.com/product-detail/C393941.html
6,C19171394,YLED0603B,YONGYUTAI,0603,,Blue LED Indication - Discrete 2.6V~3.2V 0603,yes,100,100,100,0.0061,0.61,https://www.lcsc.com/product-detail/C19171394.html
7,C21519,MPZ2012S601AT000,TDK,0805,,600Ω@100MHz 1 Line Ferrite Bead 0805 2A 100mΩ,yes,10,10,10,0.0259,0.26,https://www.lcsc.com/product-detail/C21519.html
8,C48678024,AO3401A,baocheng,SOT-23,,P-Channel 30V 4.2A 1.4W Surface Mount SOT-23,yes,20,20,20,0.0295,0.59,https://www.lcsc.com/product-detail/C48678024.html
9,C916396,2N7002,JSMSEMI,SOT-23,,N-Channel 60V 115mA 200mW Surface Mount SOT-23,yes,50,50,50,0.0087,0.44,https://www.lcsc.com/product-detail/C916396.html
10,C137753,RC0603FR-0727RL,YAGEO,0603,,100mW 27Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0017,0.17,https://www.lcsc.com/product-detail/C137753.html
11,C2930027,FRC0603J103 TS,FOJAN,0603,,10kΩ ±5% 100mW 0603 Thick Film Resistor,-,100,100,100,0.0011,0.11,https://www.lcsc.com/product-detail/C2930027.html
12,C2907172,FRC0603J471 TS,FOJAN,0603,,470Ω ±5% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0011,0.11,https://www.lcsc.com/product-detail/C2907172.html
13,C284879,GL823K-HCY04,GENESYS,SSOP-16-150mil,,USB to SD 480Mbps USB 2.0 SSOP-16-150mil Interface Controllers RoHS,yes,1,1,1,0.4568,0.46,https://www.lcsc.com/product-detail/C284879.html
14,C720521,USB-212-BCW,XUNPU,SMD,,"USB-A (USB TYPE-A) Receptacle Connector 4 Position Surface Mount, Right Angle",yes,5,5,5,0.0981,0.49,https://www.lcsc.com/product-detail/C720521.html
